doc_id,annotator,model,model_reported,attempts,input_tokens,output_tokens,latency_s,called_at_utc,prompt_fingerprint
GT-130,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10161,1042,2.4,2026-09-19T00:00:44.692249+00:00,53c7ce151f935769
GT-001,gpt-oss-20b#r2,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10075,1987,3.29,2026-09-18T03:14:51.395969+00:00,53c7ce151f935769
GT-099,gpt-oss-20b#r2,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10155,2275,3.44,2026-09-18T03:27:37.710746+00:00,53c7ce151f935769
GT-022,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9986,1402,3.18,2026-09-18T23:48:10.160929+00:00,53c7ce151f935769
GT-025,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10005,1470,3.13,2026-09-18T23:48:28.408568+00:00,53c7ce151f935769
GT-017,gpt-oss-20b#r2,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9970,2264,2.88,2026-09-18T03:16:46.100197+00:00,53c7ce151f935769
GT-160,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9900,1998,2.85,2026-09-18T03:14:44.601013+00:00,53c7ce151f935769
GT-055,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10066,2467,3.76,2026-09-18T23:51:50.563909+00:00,53c7ce151f935769
GT-069,gpt-oss-20b#r2,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10080,1887,2.9,2026-09-18T03:22:28.328989+00:00,53c7ce151f935769
GT-082,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10047,2400,3.73,2026-09-18T03:05:18.713664+00:00,53c7ce151f935769
GT-059,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9859,1746,3.47,2026-09-18T23:52:32.778063+00:00,53c7ce151f935769
GT-021,gpt-oss-20b#r2,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10264,2214,3.02,2026-09-18T03:17:09.718721+00:00,53c7ce151f935769
GT-114,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10096,3131,4.52,2026-09-18T03:08:59.818140+00:00,53c7ce151f935769
GT-152,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10064,2181,2.89,2026-09-19T00:03:36.319732+00:00,53c7ce151f935769
GT-063,gpt-oss-20b#r2,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9966,1071,2.54,2026-09-18T03:21:49.310181+00:00,53c7ce151f935769
GT-032,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10019,2072,3.11,2026-09-18T23:49:13.689605+00:00,53c7ce151f935769
GT-027,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9935,1696,2.88,2026-09-18T02:58:25.347131+00:00,53c7ce151f935769
GT-075,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9957,2424,3.32,2026-09-18T23:54:13.691256+00:00,53c7ce151f935769
GT-016,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9955,3084,4.43,2026-09-18T02:56:43.557757+00:00,53c7ce151f935769
GT-068,gpt-oss-20b#r2,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10077,2778,3.85,2026-09-18T03:22:21.926777+00:00,53c7ce151f935769
GT-069,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10080,1408,2.92,2026-09-18T03:03:40.364322+00:00,53c7ce151f935769
GT-060,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9776,2039,2.61,2026-09-18T23:52:38.894087+00:00,53c7ce151f935769
GT-074,gpt-oss-20b#r2,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10188,1921,2.78,2026-09-18T03:25:01.015665+00:00,53c7ce151f935769
GT-130,gpt-oss-20b#r2,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10161,1514,3.01,2026-09-18T23:42:21.345073+00:00,53c7ce151f935769
